arc_id;user_id;polarity;subjectivity;lang;TextBlob;lat;long
600;149547221;0.1;0.9;en;eu official : the 3,3 billion already paid out today!!! no conflict with ert. every minister in eg just as surprised;50.84247898;4.38342742
673;48980896;0.1;0.2;nl;#regram stijnverlinden old #tomato varieties at the #organic #market in #brussels #food #foodporn ;50.820416;4.326322
831;3255489201;0.1;0.3;fr; @ lush bruxelles rue neuve ;50.84925;4.35247
1018;200899850;0.1;0.4;;@emletondel tonight we are young so lets set the world on fire :d;50.85844958;4.33217193
1117;41187339;0.1;0.1;en;if youre a professional in #bruxelles, check out this #job:  #hiring #tweetmyjobs;50.85;4.35
1135;39292726;0.1;0.1;en;if youre a #businessmgmt professional in #brussels, check out this #job:  #intel #hiring;50.8503396;4.3517103
1308;1035631632;0.1;0.4;fr;jsuis en manque de chocolat;50.8622457;4.3766438
1396;39292726;0.1;0.1;en;if youre a #businessmgmt professional in #brussels, check out this #job:  #hiring #careerarc;50.85034;4.35171
1540;14129344;0.1;0.4;en;@malinidas you folks still out and about? i am currently near the hotel.;50.83610624;4.35558587
1863;16024021;0.1;0.4;en;they use the energy directly from mep  assistants who are in the basement all pedalling. #europcom  ;50.83814234;4.37601248
1921;91976148;0.1;0.1;en;use your dreams to motivate you, not as a substitute for action  @ le cerceuil, bruxelles ;50.847113;4.353232
2003;184464284;0.1;0.4;;"climate book/experience: stanley johnsons: ""where the wild things were: travels of a conservationist"".  ";50.82185912;4.36951632
2340;1066980500;0.1;0.4;fr;je fuit direct plus jls elle me revoit;50.8523378;4.3384448
2545;114307530;0.1;0.2;;i am at the old oak (rue franklinstraat 26, brussels) w/ 2 others [pic]: ;50.844613;4.38493174
2609;59101795;0.1;0.4;en;completely lost, why all these details? #petermombaerts #tedxbrussels;50.84377467;4.35996089
2623;227487071;0.1;1.0;fr;wow je trouve plus ce foutu baggy;50.87146676;4.3293104
2987;23950862;0.1;1.0;nl;@tjunlimit @jeronimomusic wow wie wat waar???;50.8689026;4.3134241
3241;616081681;0.1;0.4;fr;il manque  tout le monde.;50.8110707;4.31811476
3297;1015171633;0.1;0.1;en;dinner action shot #home #getinmytummy ;50.843948;4.395893
3344;1043061566;0.1;0.4;fr;nan le soleil me manque trop;50.87498213;4.35727889
3550;20615880;0.1;0.8;nl;@igloosarecool @filipvds duh :-) maar ik erger me eraan, ze verpesten het voor diegene die het wel goed doen en ook met zo een wagen rijden;50.863807;4.4099756
3860;2222880193;0.1;0.4;fr;hans il me manque;50.84003648;4.29513677
4074;2345138076;0.1;0.4;fr;@choseinterdite: pincer les seins ou les fesses dune meuf devant tout le monde cest un manque de respect les gars ;50.85560253;4.43263288
4144;15714078;0.1;0.625;en;rlrt @beccalivermore i dont have a hot dog, i have a long finger. #thingsyouhearinagencies thingsyouhearinag #catchmas;50.848971;4.350464
4150;2254448393;0.1;0.4;fr;il manque quune personne me dise joyeux anniversaire..;50.820748;4.293662
4547;432916118;0.1;0.4;;il me manque dj sa petite maman .;50.82146565;4.40782261
4656;2365325570;0.1;1.0;en;@withings  #activite #calibrate  my activity is loosing calibration all the time. no answer from sav so far.....;50.801877;4.335056
5295;19771686;0.1;0.25;en;@_markgallagher @brianodriscoll @danielricciardo mark you make all the essential points really the question is why rbr did not act promptly?;50.84675569;4.35524401
5316;413277543;0.1;0.3;en;early 2000s music ;50.882027;4.40422
5353;382904851;0.1;0.4;fr;en manque daffection mdr;50.85181526;4.36173268
5899;176739183;0.1;0.4;;i am at wild gallery (vorst / forest, brussels) ;50.82234761;4.32175787
5994;426476547;0.1;0.4;nl;@meur complete chaos man. anderhalf uur al voor 1km.. #waanzin;50.84019619;4.35680003
6195;377470686;0.1;1.0;;"ti far godere come nessun uomo ha mai fatto.
#lebugie";50.83347691;4.37025496
6436;569130729;0.1;0.4;fr;ma ptite sur du bled me manque trop , bientt 6ans elle grandit trop vite la ptite ;50.895071;4.420133
6455;140035892;0.1;0.1;en;if youre a #businessmgmt professional in #brussels, check out this #job:  #hiring;50.85034;4.35171
6628;103049764;0.1;0.4;fr;mais ma soeur me manque trop meme si je la vois souvent cpas pareil pcq elle habite plus avec nous;50.873926;4.314184
6668;532128936;0.1;0.25;en;ready - french connection 19:30 (@ skieve aperos @ boeremet w/ 2 others) [pic]: ;50.843004;4.327163
6714;36318999;0.1;0.2;;i am having some old friends for dinner. (@ bar bik w/ @svendrickx @tineke_vdw @ovanrompaey @davydhaeyer) ;50.85526762;4.3520236
7144;20920486;0.1;0.3;en;9 nov 1989 - in the early evening, schabowski announced east germans could begin to travel to west germany and west berlin #berlinwall25;50.840383;4.381295
7207;264892531;0.1;0.2;en;he who has the divine gift of passion ages but never gets old;50.825267;4.386365
7287;855065990;0.1;1.0;fr;wow, ctait vraiment norme. des gens gniaux, des groupes qui cassent tout, et une ambiance de ;50.86187829;4.34949254
7335;28588303;0.1;1.0;it;dopo #fellaini riuscir #cicharito a far diventare questa una giornata #manchesterunited? #brasilemessico #mondiali ;50.82291;4.369315
7846;21748281;0.1;0.2833333333333333;nl;public is ready. en ik blij dat ik aan de andere kant van de dranghekken sta. #nationalefeestdag @ ;50.84204502;4.36225891
7934;1654070209;0.1;0.4;fr;j etais tout simplement en manque d amour j avais besoin de mon papa .;50.87664;4.326271
8039;1160261568;0.1;0.4;fr;rizlaine cette bte fille elle manque quand mme;50.8394823;4.3130131
8211;599397588;0.1;0.4;fr;mon dico il a direct compris ce que je voulais crire;50.8655758;4.3659433
8331;501304529;0.1;1.0;fr;mon percing au nez a enfin cicatriser! wow aprs 5 moi quoi oh lala;50.88229683;4.38192455
8557;801566084;0.1;0.4;fr;"@dxxmien: 2014 on aura eu

-br all7-1
-ebola 
-a durand
-les clown
-#nabillaengav 
lanne nest pas fini

manque ta grosse mre la pute";50.841049;4.409477
8805;243182415;0.1;0.4;ht;les messages de dprime que lenvoie a mon amoureux hahahah  a fais mme pas 24h que je lai plus vu et je suis dj en manque de lui;50.8383482;4.28877291
8924;1329940513;0.1;0.4;fr;lhypocrisie et le manque de personnalit ...;50.86107274;4.3178339
8948;257443829;0.1;0.4;;@cartho2lux: moi enceinte ma grossesse me manque #envrai  ahahahahvtetais rteek;50.86240724;4.32237827
9184;2168467773;0.1;0.4;fr;@valentino_radio oh merde a fait peur ce manque de culture..;50.79154024;4.35900436
9290;1372373347;0.1;0.525;fr;"""@trueeballer: @imbackniggah courage haha"" hehe j pleure deja dcouragement total...";50.8252616;4.2984503
9367;785459203;0.1;0.4;fr;oh ptnn la range !!!! jv la montrer demain direct a mon pre pour quil vend sa range et achete celle-ci #lrt;50.87875357;4.39132658
10022;461498468;0.1;0.4;fr;@karimzeribi et quand  au gg tu nous manque;50.8950165;4.393644
10617;296759045;0.1;1.0;nl;ikea voor volwassenen. #ab @aliceontheroof @anna_ofthenorth #wow @ ;50.84732124;4.34918483
10683;884405948;0.1;0.2;tl;@yhamyixing kahit sino talaga sa mga ka close niya na male bagay haha shippable kahit kanino;50.79651;4.321126
10862;1008675452;0.1;0.4;fr;ouais jsuis en direct de belgium city;50.8587155;4.35237724
11170;950277588;0.1;1.0;fr;@hezaaah ouais, on pourra wow ce soir mais je pense pas que jaurai lnergie pour un hots;50.781933;4.33446
11252;118312299;0.1;0.4;fr;il vient me parler tout les soirs j suis sur j lui manque;50.8590729;4.3795683
11666;566106581;0.1;1.0;fr; de la a dire quil a le sharingan, faut pas tout mlanger hein, wow.;50.87203742;4.41081025
11712;59101459;0.1;0.1;en;leon the professional.. #theanandayu #eurotrip @ brussels town hall ;50.8465;4.3518
12012;800921508;0.1;0.4;fr;@jananass @kmno4s jpeux pas vous dire, je rattrape les heures de sommeil quil me manque en math.;50.833745;4.402539
12401;444533539;0.1;0.4;fr;ce sont aussi des #bnvoles dans la #rgie du #televie @rtltvi  #problemetechnique #direct;50.81674454;4.33800948
12499;244261614;0.1;0.4;fr;@christachocolat aucune ide ! *ma folie sen va* sinn cmt tas disparu toi! reviens a bruxelles que je me moque de toi a me manque ;50.86738991;4.28396056
12730;714791461;0.1;0.4;fr;jtais au  avec arnaud i ma direct fait rire ;50.862946;4.421843
12968;1117356464;0.1;0.4;fr;ta voulu monter trop haut, direct il ta fais lcroche patte;50.849327;4.455674
13720;77994870;0.1;0.3;en;work in progress... in my workshop busy remodelling 3 gold rings, which were brought in by my ;50.85244;4.34217
13763;140486951;0.1;0.3;fr;trey songz cest la perfection physique masculine a mes yeux.;50.822664;4.343633
13932;49028216;0.1;0.4;fr;// je vous manque dj, belgique.  #brussels #bruxelles #belgium #belgique @ bruxelles ;50.84563;4.31052
13937;541747245;0.1;0.4;fr;"@fabioporto99: @m_refaei_ @lenouuuuuu je veux bien le lien aussi merci ^^ ecrivez ""perles de ma campagne"" vs allez trouver direct";50.8149453;4.33848007
14701;536079544;0.1;0.2625;fr;@yfs16. ahahahahah je viens t trouver m future femme sur #twitter mdr hahaha j atttend mon plat ;50.8452737;4.3899115
14914;816921218;0.1;0.3;;busy... busy, busy, busy..;50.8366843;4.33533156
14947;240316256;0.1;0.4;fr;@sarahlingwa elle me manque ma fille en vrai.;50.8690172;4.399755
